#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 05 27 01 50 270  8.0  9.0   1.5     7   5.4 200 1016.4  25.1  24.9    MM   MM +1.1    MM
2017 05 27 00 50 250  6.0  8.0   1.5     7   5.6 183 1016.0  24.9  25.0    MM   MM +0.9    MM
2017 05 26 23 50 240  6.0  8.0   1.4     7   5.4 186 1015.6  25.0  25.0    MM   MM +0.4    MM
2017 05 26 22 50 250  6.0  7.0   1.5     7   5.4 204 1015.3  25.2  25.0    MM   MM +0.0    MM
2017 05 26 21 50 250  7.0  8.0   1.6     8   5.7 193 1015.1  25.2  25.1    MM   MM -0.7    MM
2017 05 26 20 50 260  5.0  7.0   1.7     7   5.8 215 1015.2  25.1  25.2    MM   MM -0.8    MM
2017 05 26 19 50 260  5.0  6.0   1.6     8   5.5 253 1015.3  24.8  25.1    MM   MM -0.9    MM
2017 05 26 18 50 270  5.0  6.0   1.7     8   5.5 208 1015.8  24.7  25.1    MM   MM -0.6    MM
2017 05 26 17 50 280  6.0  7.0   1.9     8   5.5 252 1016.0  24.7  25.0    MM   MM +0.0    MM
2017 05 26 16 50 280  6.0  8.0   1.9     8   5.5 261 1016.2  24.6  24.9    MM   MM +0.3    MM
2017 05 26 15 50 290  6.0  7.0   2.1     8   5.8 256 1016.4  24.6  24.8    MM   MM +0.9    MM
2017 05 26 14 50 290  7.0  8.0   2.2     8   5.8 275 1016.0  24.5  24.8    MM   MM +1.0    MM
2017 05 26 13 50 290  7.0  9.0   2.4     8   6.0 285 1015.9  24.6  24.7    MM   MM +1.3    MM
2017 05 26 12 50 290  7.0  9.0   2.4     8   5.9 271 1015.5  24.9  24.7    MM   MM +1.4    MM
2017 05 26 11 50 270  8.0 10.0   2.5     7   6.1 234 1015.0  25.0  24.7    MM   MM +1.5    MM
2017 05 26 10 50 270  9.0 10.0   2.5     9   6.1 285 1014.6  25.0  24.7    MM   MM +1.3    MM
2017 05 26 09 50 270  9.0 11.0   2.8     8   6.3 257 1014.1  24.8  24.7    MM   MM +1.0    MM
2017 05 26 08 50 270  9.0 11.0   2.6     8   6.2 256 1013.5  24.7  24.7    MM   MM +0.5    MM
2017 05 26 07 50 260 10.0 12.0   2.7     9   6.2 275 1013.3  24.6  24.7    MM   MM +0.3    MM
2017 05 26 06 50 270 10.0 12.0   2.7     9   6.3 269 1013.1  24.6  24.7    MM   MM +0.5    MM
2017 05 26 05 50 260 10.0 13.0   3.3     8   6.5 239 1013.0  24.5  24.7    MM   MM +1.4    MM
2017 05 26 04 50 250 11.0 13.0   3.0     9   6.5 263 1013.0  24.4  24.7    MM   MM +2.3    MM
2017 05 26 03 50 250 11.0 14.0   3.1     8   6.5 237 1012.6  24.5  24.8    MM   MM +2.6    MM
2017 05 26 02 50 250 12.0 15.0   3.0     8   6.5 213 1011.6  24.7  24.8    MM   MM +1.8    MM
2017 05 26 01 50 250 12.0 15.0   3.0     9   6.5 247 1010.7  24.8  24.8    MM   MM +1.2    MM
2017 05 26 00 50 250 11.0 15.0   3.0     8   6.5 200 1010.0  24.9  24.8    MM   MM +0.9    MM
2017 05 25 23 50 240 10.0 14.0   3.0     8   7.1 210 1009.8  25.0  24.8    MM   MM +1.0    MM
2017 05 25 22 50 220  9.0 11.0   2.6     8   6.6 192 1009.5  24.3  24.8    MM   MM +0.8    MM
2017 05 25 21 50 230  9.0 12.0   3.0     8   6.8 188 1009.1  23.9  24.8    MM   MM +0.3    MM
2017 05 25 20 50 220  9.0 10.0   3.3     8   6.9 183 1008.8  23.1  24.7    MM   MM +1.0    MM
2017 05 25 19 50 220 13.0 17.0   3.8     8   6.8 187 1008.7  22.4  24.7    MM   MM -0.0    MM
2017 05 25 18 50 200 13.0 17.0   3.4     8   6.5 183 1008.8  21.4  24.5    MM   MM -0.5    MM
2017 05 25 17 50 170 12.0 15.0   3.1     8   6.7 188 1007.8  25.0  24.6    MM   MM -1.5    MM
2017 05 25 16 50 180 11.0 14.0   3.0     8   6.4 179 1008.5  25.1  24.4    MM   MM -0.8    MM
2017 05 25 15 50 190 12.0 14.0   2.9     8   6.2 191 1009.3  25.0  24.5    MM   MM +0.7    MM
2017 05 25 14 50 190 12.0 14.0   3.1     8   6.2 184 1009.3  24.9  24.5    MM   MM +1.1    MM
2017 05 25 13 50 200 12.0 14.0   3.2     8   6.2 190 1009.3  24.8  24.5    MM   MM +1.4    MM
2017 05 25 12 50 200 12.0 15.0   2.9     7   5.9 185 1008.6  24.6  24.6    MM   MM +1.3    MM
2017 05 25 11 50 190 13.0 16.0   3.6     8   6.3 195 1008.2  24.6  24.6    MM   MM +1.6    MM
2017 05 25 10 50 190 14.0 18.0   3.5     8   6.2 196 1007.9  24.8  24.7    MM   MM +1.3    MM
2017 05 25 09 50 190 14.0 16.0   3.4     8   6.2 192 1007.3  24.5  24.8    MM   MM -0.0    MM
2017 05 25 08 50 180 14.0 16.0   3.4     8   6.1 189 1006.6  24.4  24.8    MM   MM -1.9    MM
2017 05 25 07 50 180 15.0 18.0   2.8     8   5.8 193 1006.6  25.3  24.9    MM   MM -2.3    MM
2017 05 25 06 50 180 13.0 20.0   3.0     8   6.0 195 1007.5  25.0  24.9    MM   MM -1.7    MM
2017 05 25 05 50 210 15.0 18.0   2.9     7   5.9 182 1008.5  21.5  24.9    MM   MM -0.4    MM
2017 05 25 04 50 180 13.0 16.0   2.9     7   6.0 179 1008.9  25.5  25.0    MM   MM +0.0    MM
2017 05 25 03 50 170 12.0 16.0   2.7     8   6.0 205 1009.2  25.5  25.0    MM   MM -0.3    MM
2017 05 25 02 50 170 13.0 15.0   2.3     7   5.8 173 1008.9  25.5  25.0    MM   MM -0.6    MM
2017 05 25 01 50 170 11.0 13.0   2.6     8   6.3 226 1009.0  25.4  25.0    MM   MM -0.3    MM
2017 05 25 00 50 170 10.0 13.0   2.4     8   6.3 203 1009.5  25.4  25.0    MM   MM +0.3    MM
2017 05 24 23 50 180  9.0 11.0   2.4     8   6.2 193 1009.5  25.3  25.0    MM   MM +0.0    MM
2017 05 24 22 50 180  9.0 11.0   2.5     7   6.3 180 1009.3  25.3  24.9    MM   MM -0.4    MM
2017 05 24 21 50 190  8.0 10.0   2.5     7   6.3 187 1009.2  25.2  24.8    MM   MM -1.2    MM
2017 05 24 20 50 190  9.0 11.0   2.7     8   6.1 205 1009.3  25.2  24.4    MM   MM -1.1    MM
2017 05 24 19 50 190 10.0 12.0   2.4     8   6.1 242 1009.7  25.3  24.5    MM   MM -0.7    MM
2017 05 24 18 50 200  9.0 11.0   2.2     8   5.9 210 1010.4  25.3  24.5    MM   MM +0.0    MM
2017 05 24 17 50 200 11.0 13.0   2.4     8   6.2 243 1010.4  25.3  24.5    MM   MM +0.0    MM
2017 05 24 16 50 190  7.0  9.0   2.5     8   6.1 202 1010.4  24.9  24.5    MM   MM   MM    MM
2017 05 24 15 50 200 10.0 13.0   2.6     8   6.0 202 1010.4  25.0  24.5    MM   MM +0.0    MM
2017 05 24 14 50 200 10.0 12.0   2.8     7   6.0 204 1010.5  24.9  24.4    MM   MM +0.3    MM
2017 05 24 13 50 200 11.0 13.0   2.4     8    MM  MM 1010.4  25.0  24.4    MM   MM   MM    MM
2017 05 24 12 50 200 11.0 14.0   2.6     7   5.7 204 1010.6  25.0  24.5    MM   MM +0.8    MM
2017 05 24 11 50 200 11.0 14.0   2.4     7   5.5 195 1010.2  25.0  24.5    MM   MM +0.6    MM
2017 05 24 10 50 200 11.0 14.0   2.4     6   5.5 191 1010.0  25.0  24.5    MM   MM +0.4    MM
2017 05 24 09 50 200 12.0 15.0   2.5     7   5.6 210 1009.8  25.0  24.5    MM   MM -0.0    MM
2017 05 24 08 50 200 11.0 13.0   2.5     7   5.6 199 1009.6  25.0  24.5    MM   MM +0.0    MM
2017 05 24 07 50 200 12.0 15.0   2.2     6   5.3 196 1009.6  24.9  24.5    MM   MM -1.1    MM
2017 05 24 06 50 190 12.0 14.0   2.2     6   5.5 202 1009.9  24.9  24.5    MM   MM -1.6    MM
2017 05 24 05 50 180 12.0 14.0   2.2     7   5.5 193 1009.8  24.8  24.5    MM   MM -2.0    MM
2017 05 24 04 50 190 11.0 13.0   2.1     6   5.4 196 1010.7  24.8  24.5    MM   MM -1.2    MM
2017 05 24 03 50 190 11.0 13.0   2.0     7   5.4 217 1011.5  24.9  24.6    MM   MM -0.8    MM
2017 05 24 02 50 190 11.0 14.0   2.0     6   5.6 202 1011.8  24.9  24.6    MM   MM -0.8    MM
2017 05 24 01 50 190  9.0 11.0   1.8     6   5.4 203 1011.9  24.9  24.6    MM   MM +0.4    MM
2017 05 24 00 50 200  7.0  9.0   1.6     6   5.4 192 1012.3  24.9  24.7    MM   MM -0.0    MM
2017 05 23 23 50 210  8.0  9.0   1.5     6   5.0 207 1012.6  24.9  24.6    MM   MM +0.8    MM
2017 05 23 22 50 190  9.0 10.0   1.6     6   5.1 196 1011.5  24.8  24.5    MM   MM -0.8    MM
2017 05 23 21 50 200  9.0 11.0   1.6     6   5.1 190 1012.1  24.8  24.6    MM   MM -1.1    MM
2017 05 23 20 50 200  9.0 11.0   1.3     6   4.8 194 1011.8  24.8  24.6    MM   MM -2.1    MM
2017 05 23 19 50 190  8.0 11.0   1.4     6   4.8 188 1012.3  24.7  24.5    MM   MM -2.3    MM
2017 05 23 18 50 190  9.0 11.0   1.3     5   4.7 172 1013.2  24.8  24.5    MM   MM -2.0    MM
2017 05 23 17 50 200  8.0 10.0   1.3     5   4.6 184 1013.9  24.6  24.5    MM   MM -1.5    MM
2017 05 23 16 50 200  9.0 10.0   1.4     5   4.5 183 1014.6  24.6  24.6    MM   MM -0.9    MM
2017 05 23 15 50 200  9.0 11.0   1.3     5   4.5 194 1015.2  24.6  24.6    MM   MM +0.0    MM
2017 05 23 14 50 200  9.0 11.0   1.3     5   4.3 182 1015.4  24.5  24.6    MM   MM +0.0    MM
2017 05 23 13 50 190 10.0 11.0   1.2     5   4.3 172 1015.5  24.4  24.6    MM   MM -0.0    MM
2017 05 23 12 50 170  9.0 11.0   1.2     4   4.3 191 1015.2  24.2  24.6    MM   MM +0.4    MM
2017 05 23 11 50 170  8.0  9.0   1.0     4   4.1 190 1015.2  24.0  24.6    MM   MM +0.4    MM
2017 05 23 10 50 180  8.0  9.0   1.1     4   4.3 185 1015.3  24.0  24.7    MM   MM -0.0    MM
2017 05 23 09 50 180  8.0  9.0   1.0     4   4.2 181 1014.8  23.9  24.7    MM   MM -1.2    MM
2017 05 23 08 50 180  8.0  9.0   1.0     8   4.5  29 1014.8  23.9  24.8    MM   MM -1.9    MM
2017 05 23 07 50 180  8.0  9.0   1.0     8   4.6  32 1015.1  24.0  24.7    MM   MM -2.8    MM
2017 05 23 06 50 180  7.0  9.0   0.9     8   4.6  50 1016.0  24.1  24.7    MM   MM -2.3    MM
2017 05 23 05 50 170  7.0  9.0   0.9     8   4.7  42 1016.7  24.1  24.7    MM   MM -1.9    MM
2017 05 23 04 50 170  6.0  8.0   0.9     8   4.9  27 1017.9  24.2  24.7    MM   MM -0.7    MM
2017 05 23 03 50 180  6.0  7.0   0.9     8   5.2  18 1018.3  24.2  24.8    MM   MM +0.6    MM
2017 05 23 02 50 190  6.0  8.0   0.9     8   5.4  32 1018.6  24.2  24.9    MM   MM +1.2    MM
2017 05 23 01 50 190  5.0  7.0   0.9     8   5.5  34 1018.6  24.3  25.0    MM   MM +1.7    MM
2017 05 23 00 50 170  5.0  7.0   0.9     8   6.0  19 1017.7  24.4  25.3    MM   MM +0.8    MM
2017 05 22 23 50 180  5.0  6.0   0.9     8   6.3  18 1017.4  24.4  25.5    MM   MM -0.0    MM
2017 05 22 22 50 200  4.0  5.0   0.9     8   6.6  18 1016.9  24.4  25.8    MM   MM -1.4    MM
2017 05 22 21 50 170  4.0  4.0   0.8     8   6.2  41 1016.9  24.3  25.8    MM   MM -2.0    MM
2017 05 22 20 50 170  2.0  4.0   1.0     8   6.4  33 1017.5  24.2  26.1    MM   MM -2.1    MM
2017 05 22 19 50 180  1.0  2.0   1.0     8   6.4  12 1018.3  24.3  26.1    MM   MM -1.5    MM
2017 05 22 18 50 220  2.0  3.0   1.1     8   6.5  14 1018.9  24.3  25.8    MM   MM -1.3    MM
2017 05 22 17 50 260  2.0  3.0   1.2     8   6.7  30 1019.6  24.1  25.5    MM   MM -0.6    MM
2017 05 22 16 50 250  3.0  3.0   1.1     8   6.6  36 1019.8  24.0  25.2    MM   MM -0.5    MM
2017 05 22 15 50 240  3.0  4.0   1.0     8   6.2  31 1020.2  24.0  25.0    MM   MM -0.4    MM
2017 05 22 14 50 240  3.0  4.0   1.0     9   6.2  23 1020.2  24.0  24.9    MM   MM +0.0    MM
2017 05 22 13 50 240  3.0  4.0   1.0     8   5.9  17 1020.3  24.0  24.8    MM   MM +0.0    MM
